open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2024-01-01T00:00:00.000,2283.84,2299.16,2282.97,2297.41,75593.183,2024-01-01T00:59:59.999,173399631.75655,75195,40291.257,92415191.78822,0
2024-01-01T01:00:00.000,2297.41,2308.74,2294.77,2305.71,58591.895,2024-01-01T01:59:59.999,134941626.02991,60112,31397.246,72305626.55339,0
2024-01-01T02:00:00.000,2305.72,2306.95,2293.15,2295.19,44611.328,2024-01-01T02:59:59.999,102578990.5845,45679,19798.81,45523577.58666,0
2024-01-01T03:00:00.000,2295.19,2296.83,2272.04,2275.59,88559.028,2024-01-01T03:59:59.999,202107525.46153,87063,40900.389,93320364.02807,0
2024-01-01T04:00:00.000,2275.59,2281.71,2266.67,2281.45,80010.451,2024-01-01T04:59:59.999,182055645.49232,82831,40686.056,92594738.13861,0
2024-01-01T05:00:00.000,2281.46,2285.48,2274.1,2277.96,51216.415,2024-01-01T05:59:59.999,116823339.19626,56411,25553.789,58294570.11815,0
2024-01-01T06:00:00.000,2277.96,2285.32,2276.0,2283.44,45811.582,2024-01-01T06:59:59.999,104464342.51605,42095,23486.243,53561982.20346,0
2024-01-01T07:00:00.000,2283.43,2289.82,2282.9,2286.46,36678.462,2024-01-01T07:59:59.999,83863540.87073,42960,17269.253,39487975.94007,0
2024-01-01T08:00:00.000,2286.46,2289.29,2281.82,2289.07,33694.121,2024-01-01T08:59:59.999,77013838.62898,40057,14399.152,32914281.58706,0
2024-01-01T09:00:00.000,2289.07,2302.47,2288.76,2301.83,76505.359,2024-01-01T09:59:59.999,175631581.76942,74173,39147.219,89873220.14022,0
2024-01-01T10:00:00.000,2301.83,2305.56,2299.64,2304.19,56971.338,2024-01-01T10:59:59.999,131192008.27295,61201,27804.8,64028661.96182,0
2024-01-01T11:00:00.000,2304.19,2307.45,2301.01,2306.72,46442.298,2024-01-01T11:59:59.999,107017426.59262,51518,21292.437,49064423.12912,0
2024-01-01T12:00:00.000,2306.71,2309.49,2300.94,2301.52,54115.198,2024-01-01T12:59:59.999,124762520.94834,56201,26536.782,61187591.53884,0
2024-01-01T13:00:00.000,2301.52,2310.81,2300.0,2306.13,41015.711,2024-01-01T13:59:59.999,94598842.36146,46824,21481.613,49548304.68501,0
2024-01-01T14:00:00.000,2306.13,2307.5,2296.51,2303.2,59893.321,2024-01-01T14:59:59.999,137898575.16218,63586,28703.18,66092355.25382,0
2024-01-01T15:00:00.000,2303.2,2321.0,2301.47,2316.97,97780.491,2024-01-01T15:59:59.999,226212207.88458,94170,53616.436,124038614.61805,0
2024-01-01T16:00:00.000,2316.97,2322.24,2308.36,2311.9,103280.503,2024-01-01T16:59:59.999,239082691.03089,93962,49616.435,114869160.41207,0
2024-01-01T17:00:00.000,2311.9,2319.14,2308.52,2315.87,54025.428,2024-01-01T17:59:59.999,125073083.66389,55631,27686.516,64094587.36673,0
2024-01-01T18:00:00.000,2315.87,2334.43,2315.87,2328.95,123181.291,2024-01-01T18:59:59.999,286752831.23564,118817,69880.779,162649222.09255,0
2024-01-01T19:00:00.000,2328.96,2343.43,2324.04,2339.71,92448.666,2024-01-01T19:59:59.999,215866726.4006,95352,51685.613,120705397.65044,0
2024-01-01T20:00:00.000,2339.71,2351.34,2337.34,2343.24,117681.083,2024-01-01T20:59:59.999,275907254.33625,114750,59332.367,139109764.24431,0
