open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2024-01-01T00:00:00.000,42314.0,42603.2,42289.6,42503.5,8459.477,2024-01-01T00:59:59.999,359196345.08716,88278,4687.976,199033806.82405,0
2024-01-01T01:00:00.000,42503.5,42832.0,42462.0,42647.9,9043.411,2024-01-01T01:59:59.999,385970069.22236,90351,4783.838,204180582.72378,0
2024-01-01T02:00:00.000,42647.9,42676.9,42530.0,42620.4,4653.067,2024-01-01T02:59:59.999,198220641.34219,52550,2141.259,91220775.7283,0
2024-01-01T03:00:00.000,42620.5,42630.0,42270.0,42369.8,8119.88,2024-01-01T03:59:59.999,344422454.8688,84345,3501.132,148472554.5387,0
2024-01-01T04:00:00.000,42369.8,42439.8,42235.2,42436.6,6356.536,2024-01-01T04:59:59.999,269146468.0644,68026,3155.432,133634583.6504,0
2024-01-01T05:00:00.000,42436.6,42440.0,42207.9,42272.6,4139.557,2024-01-01T05:59:59.999,175215160.5833,52705,1696.938,71827449.3563,0
2024-01-01T06:00:00.000,42272.6,42461.3,42239.1,42423.3,3933.019,2024-01-01T06:59:59.999,166612744.39556,49672,2299.336,97402647.33586,0
2024-01-01T07:00:00.000,42423.4,42536.0,42421.7,42527.0,4455.05,2024-01-01T07:59:59.999,189319260.2515,50970,2086.176,88649535.7181,0
2024-01-01T08:00:00.000,42527.1,42597.3,42489.4,42588.2,3673.746,2024-01-01T08:59:59.999,156291085.19659,47409,1791.092,76203008.49659,0
2024-01-01T09:00:00.000,42588.2,42734.2,42570.0,42688.8,5779.875,2024-01-01T09:59:59.999,246593471.27662,66135,2833.179,120867357.60832,0
2024-01-01T10:00:00.000,42688.8,42795.0,42661.1,42727.7,5806.743,2024-01-01T10:59:59.999,248106239.2951,67379,2905.872,124163066.9396,0
2024-01-01T11:00:00.000,42727.7,42800.0,42638.0,42727.6,5965.038,2024-01-01T11:59:59.999,254818376.62847,67461,2717.682,116111126.10389,0
2024-01-01T12:00:00.000,42727.7,42825.2,42651.1,42682.0,6380.463,2024-01-01T12:59:59.999,272710994.37991,67641,3286.256,140482284.87473,0
2024-01-01T13:00:00.000,42682.0,42787.5,42647.9,42753.9,3269.775,2024-01-01T13:59:59.999,139714168.5292,44067,1772.19,75726341.5533,0
2024-01-01T14:00:00.000,42753.8,42755.8,42614.5,42645.6,5333.959,2024-01-01T14:59:59.999,227567909.9908,65715,2391.936,102050950.8836,0
2024-01-01T15:00:00.000,42645.5,42887.5,42617.6,42818.0,8176.63,2024-01-01T15:59:59.999,349732840.06249,92607,4387.517,187652447.23899,0
2024-01-01T16:00:00.000,42818.0,42898.9,42693.1,42759.7,7126.615,2024-01-01T16:59:59.999,305043132.951,85744,3470.444,148567141.0507,0
2024-01-01T17:00:00.000,42759.7,42860.8,42734.8,42847.0,3411.019,2024-01-01T17:59:59.999,145972605.8479,48715,1670.386,71481957.2102,0
2024-01-01T18:00:00.000,42847.0,43268.0,42847.0,43148.0,18895.526,2024-01-01T18:59:59.999,814377162.55682,184785,10240.301,441266988.1441,0
2024-01-01T19:00:00.000,43148.0,43593.2,43133.3,43556.2,17037.283,2024-01-01T19:59:59.999,739344424.0829,171283,9415.678,408614035.9608,0
2024-01-01T20:00:00.000,43556.2,43915.5,43548.5,43753.3,23648.197,2024-01-01T20:59:59.999,1034474075.01745,217997,13207.671,577785614.29074,0
2024-01-01T21:00:00.000,43753.2,43853.0,43531.8,43679.8,10536.944,2024-01-01T21:59:59.999,460297605.96579,111303,4713.037,205893025.8754,0
2024-01-01T22:00:00.000,43679.7,43723.8,43426.0,43583.9,6632.907,2024-01-01T22:59:59.999,288856776.61484,79628,3314.391,144332185.9245,0
2024-01-01T23:00:00.000,43584.0,44266.0,43583.9,44230.2,25589.427,2024-01-01T23:59:59.999,1125553984.30731,242565,14789.843,650474448.71751,0
2024-01-02T00:00:00.000,44230.3,45376.0,44200.9,45179.8,59371.002,2024-01-02T00:59:59.999,2657625433.62479,516588,32022.042,1433705417.00703,0
2024-01-02T01:00:00.000,45179.7,45485.7,44750.0,44926.3,33741.976,2024-01-02T01:59:59.999,1521564574.65173,328553,16237.08,732444703.08894,0
2024-01-02T02:00:00.000,44926.5,45428.0,44926.5,45420.0,18557.82,2024-01-02T02:59:59.999,838219234.57737,179904,9533.905,430717494.48358,0
